,title,company,job_info1,vacancy,job_context,job_res,emp_status,edu_req,exp_req,add_req,location,salary,other_bnf,comp_details,job_links
0,Expert Quality Assurance Analyst,Expert Quality Assurance Analyst,"Key Selling Points
Position in a USA-based software company
Opportunity to work closely with an experienced technical team
A stable organization with an attractive remuneration package",n/a,"Job Context
Mercury IT International Limited is a USA-based software company, a sister concern of Veradigm/Allscripts (https://veradigm.com). As the Expert Quality Assurance Analyst, you must review requirement specifications and technical design documents to provide timely and meaningful feedback. Create detailed, comprehensive, and well-structured test plans and test cases. Estimating, prioritizing, planning, and coordinating quality testing activities.","Job Responsibilities
Work closely with project management and development team to identify quality assurance steps/requirements for individual projects
Create detailed, comprehensive, and well-structured test plans and test cases
Identify issues and write detailed bug reports during the development cycle.
Documenting all issues related to tests and test failure and sharing the results with the team.
Stay up to date with new testing tools and test strategies
Assesses customer requirements and ensures these are met.
Takes full ownership of client/project requirements.
Generate historical analysis of test results.
Hold and facilitate test plan/case reviews with cross-functional team members.
Prepare Support Documentation, such as the User manual, Training manual, etc.","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering","Experience Requirements
At least 8 year(s)
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age at least 26 years
Need to understand and convey both viewpoints of the Developers as well the Stakeholders, Performing the role of a mediator.
Should have strong communication skills, verbal and written
Knowledge on QA automation tools is a strong plus
Should come up with ideas for improving the ongoing process.
Must be proactive, hard worker, energetic & determined to meet deadlines.
Back-end database testing in DB environment including validating stored procedures, jobs and triggers.","Job Location
Dhaka","Salary
Tk. 125000 - 200000 (Monthly)","Compensation & Other Benefits
Gratuity
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2
Quarterly Profit Bonus
Transport Facilities: Full Subsidize
Saturday and Sunday Weekend
Medical Insurance
Twenty days of earned leave, ten days of casual leave, and fourteen days of sick leave in a year.
Paternity and Maternity leave","Published On
26 Jan 2023
Company Information
Mercury IT International Limited
Address : House- 23 , Road-6, Block-D, Niketon, Gulshan-1, Dhaka
Web : www.mercurybd.com",https://jobs.bdjobs.com/jobdetails.asp?id=1119354&fcatId=8&ln=1
1,Senior Quality Assurance Engineer,Senior Quality Assurance Engineer,"Key Selling Points
Position in a USA-based software company
Opportunity to work closely with an experienced technical team
A stable organization with an attractive remuneration package",n/a,"Job Context
Mercury IT International Limited is a USA-based software company, a sister concern of Veradigm/Allscripts (https://veradigm.com). As a Senior Quality Assurance Analyst, you will work closely with Business and Technical Leaders from across the organization to help define and execute our testing strategy as we migrate our solutions from an on-prem environment to Azure (PaaS). We are seeking someone with experience developing automated and manual tests for data-centric applications in the cloud. This is a key position in a highly visible strategic initiative to review requirement specifications and create detailed, comprehensive, and well-structured test plans and test cases.","Job Responsibilities
Develop and implement testing patterns and best practices to ensure adequate test coverage across all of our solutions.
Assist the Product Teams in developing and executing automated test cases for their products as they move from on-prem to Azure Cloud Native Services.
Ensure the quality of the products complies with defined standards and the client's needs.
Identify technology limitations and deficiencies in existing systems and suggest the best solution.
Functional Exploratory testing, Integration testing, UI/UX testing, Security testing, and Accessibility testing.
Develop detailed, comprehensive, and well-structured test plans and test cases.
Identify issues and write detailed bug reports during the development cycle.
Documenting all issues related to tests and test failure and sharing the results with the team.
Take complete ownership of client/project requirements.
Prepare the end-user documentation, operational procedures, user manual, and training manual.","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science Engineering","Experience Requirements
At least 4 year(s)
The applicants should have experience in the following area(s):
Software Testing
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age at least 24 years
Great team player and able to work efficiently with minimal supervision.
Excellent analytical and problem-solving skills.
Should have strong communication and presentation skills.
Ability to communicate clearly and concisely, both verbally and written.
Must be proactive, hard worker, energetic & determined to meet deadlines.
Need to understand and convey the viewpoints of the Developers and the Stakeholders as a mediator.
Familiar with large database systems and able to use SQL language proficiently.
Knowledge of basic project management framework and methodology.
Knowledge of QA automation tools is a strong plus.
Integration testing framework experience (tSQLt).
Load testing framework experience (K6).
Experience testing C# applications.
Experience testing Web applications (ASP.NET Core MVC).
Knowledge of healthcare with relevant experience in Risk Adjustment, Quality, and RX.
Experience working in a SAFe Agile environment","Job Location
Dhaka","Salary
Tk. 100000 - 150000 (Monthly)","Compensation & Other Benefits
Gratuity
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2
Quarterly Profit Bonus
Transport Facilities: Full Subsidize
Saturday and Sunday Weekend
Medical Insurance
Twenty days of earned leave, ten days of casual leave, and fourteen days of sick leave in a year.
Paternity and Maternity leave","Published On
26 Jan 2023
Company Information
Mercury IT International Limited
Address : House- 23 , Road-6, Block-D, Niketon, Gulshan-1, Dhaka
Web : www.mercurybd.com",https://jobs.bdjobs.com/jobdetails.asp?id=1119352&fcatId=8&ln=1
2,Senior Software Engineer,Senior Software Engineer,"Key Selling Points
Position in a USA-based software company
Opportunity to work closely with an experienced technical team
A stable organization with an attractive remuneration package",n/a,"Job Context
Mercury IT International Limited is a USA-based software company, a sister concern of Veradigm/Allscripts (https://veradigm.com). As the Senior Software Engineer, you will work closely with Business and Technical Leaders from across the organization to rearchitect our solutions to take advantage of everything the cloud (Azure) has to offer. We`re looking for someone with experience migrating solutions from an on-prem environment to Azure (PaaS). This is a key position in a highly visible strategic initiative to pay down technical debt, modernize our systems and build a secure and robust technical framework to support the continued growth of our best-in-class healthcare solutions.","Job Responsibilities
Are cultural and linguistic polyglots who can communicate with anyone in the English-speaking world with clarity in a concise manner and understand perspectives other than your own.
Partner closely with infrastructure and operations teams to build and scale back-end services.
Partner & collaborate with organization leaders to help improve the level of performance of the team & organization.
Effective communication skills and ability to work for cross groups and across disciplines.
Takes the lead role in analyzing, Architect, and designing databases and web-based applications.
Provides technical leadership and mentorship to develop team members. Helps to resolve any technical issue/challenge that team needs.
Excellent capability to translate complex client requirements to technical implementation.
Advanced level Experience in these technologies is a must - ASP.Net MVC, ASP.Net Web API, ASP.NET Core, Entity Framework Core, Angular, WebSocket (SignalR), SQL Server, and Async programming.
Must have experience with Azure Cloud Services, Snowflake, Power BI, Azure DevOps, and Databricks.
Experienced with the AWS platform, especially AWS cloud services like Simple Queue Service (SQS), Simple Storage Service (S3), Elastic Compute Cloud (EC2), Lambda, etc.
Experienced with Architectural patterns like CQRS etc.
Experience with Test Driven Development (TDD).
Excellent capability of writing complex SQL queries and objects
Habituated with service-oriented development.
Excellent skills in design, debugging, and problem-solving.
Ensure high quality, adherence to standards and best practices, high performance, and scalable deliverable","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science Engineering","Experience Requirements
At least 4 year(s)
The applicants should have experience in the following area(s):
Software Development
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age at least 24 years
Have strong personal and organizational ethics. You work efficiently and with a clear purpose.
Full understanding of all aspects of the software development process.
Good understanding of CQRS, Domain Driven Design, Event sourcing, and SOLID Principles.
Experience with data warehouse concepts such as Facts, Dimensions, and Measures.
Strong ETL and data architecture experience.
Experience with Big Data is highly preferable.
Additional experience in these technologies is preferable: - PostgreSQL, AWS RedShift, Python, NodeJs, and Azure AI/ML.","Job Location
Dhaka","Salary
Tk. 100000 - 150000 (Monthly)","Compensation & Other Benefits
Gratuity
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2
Quarterly Profit Bonus
Transport Facilities: Full Subsidize
Saturday and Sunday Weekend
Medical Insurance
Twenty days of earned leave, ten days of casual leave, and fourteen days of sick leave in a year.
Paternity and Maternity leave","Published On
26 Jan 2023
Company Information
Mercury IT International Limited
Address : House- 23 , Road-6, Block-D, Niketon, Gulshan-1, Dhaka
Web : www.mercurybd.com",https://jobs.bdjobs.com/jobdetails.asp?id=1119348&fcatId=8&ln=1
3,Software Engineer,Software Engineer,"Key Selling Points
Position in a USA-based software company
Opportunity to work closely with an experienced technical team
A stable organization with an attractive remuneration package",n/a,"Job Context
Mercury IT International Limited is a USA-based software company, a sister concern of Veradigm/Allscripts (https://veradigm.com). As the Software Engineer, you will work closely with the core development team across the organization to develop features to take advantage of everything the cloud (Azure) has to offer. This is a key position in a highly visible strategic initiative to pay down technical debt, modernize our systems and build a secure and robust technical framework to support the continued growth of our best-in-class healthcare solutions.","Job Responsibilities
Are cultural and linguistic polyglots who can communicate with anyone in the English-speaking world with clarity in a concise manner and understand perspectives other than your own.
Partner closely with infrastructure and operations teams to build and scale back-end services.
Effective communication skills and ability to work for cross groups and across disciplines.
Average-level Experience in these technologies is a must - ASP.Net MVC, ASP.Net Web API, ASP.NET Core, Entity Framework Core, Angular, WebSocket (SignalR), SQL Server, and Async programming.
Knowledge of Architectural patterns like CQRS etc.
Experience with Test Driven Development (TDD).
Excellent capability of writing complex SQL queries and objects
Ensure high quality, adherence to standards and best practices, high performance, and scalable deliverable","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering","Experience Requirements
At least 2 year(s)
The applicants should have experience in the following area(s):
Software Development
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age at least 22 years
Have strong personal and organizational ethics. You work efficiently and with a clear purpose.
Complete understanding of all aspects of the software development process.
Good understanding of CQRS and SOLID Principles.
Additional experience in these technologies is preferable: - PostgreSQL, AWS RedShift, Python, NodeJs, and Azure AI/ML.","Job Location
Dhaka","Salary
Tk. 80000 - 130000 (Monthly)","Compensation & Other Benefits
Gratuity
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2
Quarterly Profit Bonus
Transport Facilities: Full Subsidize
Saturday and Sunday Weekend
Medical Insurance
Twenty days of earned leave, ten days of casual leave, and fourteen days of sick leave in a year.
Paternity and Maternity leave","Published On
26 Jan 2023
Company Information
Mercury IT International Limited
Address : House- 23 , Road-6, Block-D, Niketon, Gulshan-1, Dhaka
Web : www.mercurybd.com",https://jobs.bdjobs.com/jobdetails.asp?id=1119347&fcatId=8&ln=1
4,Computer Operator,Computer Operator,n/a,n/a,"Job Context
Looking for experienced and passionate Computer Operator for Office Job who is interested in working with the talented and dynamic persons of our Company.","Job Responsibilities
Good typing speed as Computer Operator in Bengali and English both.
Basic knowledge on maintaining hardware & software (download/uploading, Installation of the required software, backup system, preventive measures from virus etc).
Practical good knowledge on file creation, handling/management on MS Word, Excel, Power Point, Graphics, Emailing etc. Having experience of tender preparation will be given preference.
Excellent communication and interpersonal skills.
Must be dynamic and capable to work under pressure.
Assist to Admin Related Work.
Any other task assigned by department head/ Management.
Prepares, compiles, and sorts documents for data entry.
Must be smart & good looking
Prepare daily attendance report.","Employment Status
Full-time","Educational Requirements
Bachelor degree from any Discipline.","Experience Requirements
2 to 3 year(s)","Additional Requirements
Age 20 to 30 years
Both males and females are allowed to apply
Computer training course will be considered as an additional advantage
Very good knowledge in English and capable to write letter independently.
At least 2/3 years specific experience.","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
As per Company Policy.","Published On
24 Jan 2023
Company Information
Purbachal Dream Italian Properties Ltd.
Address : Road No: 41 , House: 11 / A1 , Lift :04 (B4) ,Gulshan-2, Dhaka-1212",https://jobs.bdjobs.com/jobdetails.asp?id=1118960&fcatId=8&ln=3
5,Senior Backend Engineer,Senior Backend Engineer,n/a,n/a,"Job Context
Future outlook of the company ( Our Success)
SetSchedule is the software punch behind the Nation`s most successful Realtors and Professionals. Our future is bright! We have grown tremendously in the last couple of years and we can`t wait for you to join our company and be a part of that growth. Whether it`s being ranked 184th on the America`s Best Startup by Forbes, Inc, or Best Company for Diversity and Culture by Comparably, this is just the start!
Positive Culture
We have the best and brightest employees which are the real strength behind our company. When we put our heads together we have the ability to offer clients something powerful, cutting-edge, and distinct on every level. Our company culture centers around that effort, but it`s also about ensuring that we enjoy making it happen. Work hard, play hard! That`s our motto. Whether you`re looking for a work life balance, or you want to drive your professional career, there`s a spot for you at SetSchedule. We understand the driving force behind any successful company are its people and we love ours!","Job Responsibilities
Implementation of multiple new products and platform initiatives in a .NET programming environment
Senior Backend Engineers provide guidance and mentorship to fulfill project needs
Building robust and secure applications able to withstand very high transaction loads
Developing a detailed knowledge of our existing framework and be the go-to person for US-based business analysts to discuss requirements","Employment Status
Full-time","Experience Requirements
At least 5 year(s)
The applicants should have experience in the following area(s):
.Net, .Net Core, .Net Framework, Backend Development, react.js, Vue.js",n/a,"Additional Requirements
Age at least 20 years
Both males and females are allowed to apply
5+ years of experience with our backend stack (.Net Framework and .Net Core) along with some experience with at least one modern front-end framework (React/Vue/Angular).
Bachelor's degree or higher in Computer Science or other related field
Strong analytical and problem-solving skills.
Ability to work autonomously as well as under supervision.
Strong communication skills
***Other requirements-
Spoken English Skill- Good (Because need to talk with the head office of the company regularly, USA)
Need to attend meetings & training on pacific standard time (Which is at NIGHT in BD time zone)","Job Location
Dhaka","Salary
Tk. 150000 - 250000 (Monthly)
1000USD to 2500USD (Negotiable)",n/a,"Published On
24 Jan 2023
Company Information
Setschedule
Business : SetSchedule is a technology company based in Irvine, California that focuses on Real Estate information SAAS Products, consumer cloud communication products, artificial intelligence, and autonomous business flow applications. Some of the company’s key products and applications include the SetSchedule App, SetHello, SetValue™, SetAds, Referral Radar, and Jessica 2.0.",https://jobs.bdjobs.com/jobdetails.asp?id=1118658&fcatId=8&ln=1
6,Network Engineer,Network Engineer,n/a,n/a,"Job Responsibilities
Able to work with the team under pressure, Must have the desire for research and development and the ability to troubleshoot.
Must have that mindset to work at the relevant field, if the management wants.
If necessary, you must have the mindset to give end-level user support.
Having practical knowledge to install & configure networking Router (MIKROTIK, CISCO) Switch (CISCO, Dell) & Wireless Devices (Aironet, Unifi, UBNT, CAMBIUM, ALTAI).
Knowledge on networking technologies protocols (OSPF, BGP, VLAN, MPLS, etc.) and services layer2, layer-3, VPNs (PPTP, L2TP, IPSec, MPLS), NMS (Nagios, Cacti etc.).
Network Optimization & Security as per plan Data validation / IP Transmission infra-structure development.
Troubleshooting network related issues and solve it on time.
Manage different types of internal monitoring servers such as Cacti, Nagios, DNS Server, Observium, K.V.M log, Proxy server as per requirements.
Monitoring the network system through network monitoring tools and taking immediate steps in case of any alert or fault.
Strong knowledge of systems and networking software, hardware, and networking protocols.
Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery.
Must have good knowledge on system virtualization (VMWare, Hyper-v) (VMWare ESXi, vSphere, and vCenter)
Have knowledge of workspace one.
Have knowledge about Windows Active Directory.
Must have good knowledge of computer hardware and software.",n/a,"Employment Status
Full-time","Educational Requirements
Bachelor in Engineering (BEngg)
Bachelor of Science (BSc) in CSE, IT, BIT, ECE, ETE.","Experience Requirements
At least 3 year(s)
The applicants should have experience in the following area(s):
Network Engineering","Additional Requirements
Age at most 30 years
The applicants should have experience in the following area(s): Network Engineering, Network Security, Networking Skills, and System Administration.
CCNA, MTCNA, MTCRE & RHCE certification is preferred.
Person with disability are encouraged to apply","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
Mobile bill, Medical allowance, Provident fund
Salary Review: Yearly
Festival Bonus: 2","Published On
23 Jan 2023
Company Information
Clarex Ltd
Address : House#531/4, Lane#11, Baridhara DOHS, Dhaka-1206
Web : www.clarex.co
Business : ‘CLAREx’ Limited was incorporated under Registrar of Joint Stock Companies and Firms (RJSC) in Bangladesh. Established in September 2015.

‘CLAREx’ is a BPO/Outsourcing company to Corporates, Financial Institutions, Banks, Sovereign enterprises, Medical billing industry etc in the areas of Trade Finance Solution, Health industry, Feasibility Studies and Financing, Strategic advisory with an emphasis on End to End Solutions.",https://jobs.bdjobs.com/jobdetails.asp?id=1118572&fcatId=8&ln=1
7,Assistant IT Officer (Night Shift),Assistant IT Officer (Night Shift),n/a,n/a,"Job Context
We are a leading IT company for the USA market located in Dhaka. We are now inviting talent and experience candidates to fill the following position.","Job Responsibilities
Input data in accurate manner into web-based software.
Generate reports from software.
Submit daily work summary reports to in-charge.
Problem diagnosis and solve the problem.","Employment Status
Full-time","Educational Requirements
Graduation or Post-Graduation (CSE) from any reputed University.
CGPA minimum 3.50
Skills Required: Computer skill, MICROSOFT OFFICE","Experience Requirements
At most 2 year(s)
Freshers are also encouraged to apply.","Additional Requirements
Age 22 to 28 years
Only males are allowed to apply
Able to work at Night shift in Office as always.
Must have knowledge to handle software.
Good typing speed in English with standard level accuracy minimum 35-40 WPM.
Able to communicate through email.
Able to speak English with overseas office staff as well as clients.
Good knowledge on MS word, Excel.
Freshers are encouraged to apply.","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
Provident fund, Weekly 2 holidays, Insurance, Gratuity
Salary Review: Yearly
Festival Bonus: 2","Published On
26 Jan 2023
Company Information
Blue Pineapple Technology Ltd
Address : GA-25/4, YB Hasan Uddin Tower (6th floor), Pragati Sarani Road, Shahjadpur, Gulshan-02, Dhaka-1212
Web : www.bluepineappletechnology.com
Business : We are a leading IT company for the USA market located in Dhaka.",https://jobs.bdjobs.com/jobdetails.asp?id=1119404&fcatId=8&ln=1
8,IT Officer,IT Officer,n/a,n/a,"Job Context
Job Location: Mirpur Darus Salam Road Branch, Dhaka.","Job Responsibilities
Manage technology services that meet operational requirements in designated area(s) of the organization.
Provides technical leadership on a variety of highly specialized project-related activities requiring expertise in specific technical areas for core information technology systems and services.
Reviews vendor contracts and coordinates IT purchases (hardware, software and services) to ensure effective deployment of solutions aligned with user needs.
Posting Entry Data by purchase actual value, quantity, and particulars.
Posing Goods return and deduct value from vendor invoice.
Delivers appropriate personnel actions and educational and training programs to ensure high quality professional staff performance in the area(s) of oversight.
Participates as a member of the IT management team in planning, problem resolution, and reviewing department performance.
Performs miscellaneous job-related duties as assigned.
Recognizing and supporting team goals and creating and maintaining positive relationships with team members.
Performed sales duties in busy Medicine store, including POS.
Monitor and analyze data and market conditions to identify competitive advantage
Keep accurate records and documentation for reporting and feedback.","Employment Status
Full-time","Educational Requirements
Minimum Graduation","Experience Requirements
At least 1 year(s)","Additional Requirements
Minimum 1 year of experience will be preferred for the post.
Excellent communication skills
Outstanding organizational skills
Media Soft Retail Master experience will be preferred for the post.","Job Location
Dhaka (Mirpur)","Salary
Negotiable","Compensation & Other Benefits
Salary Review: Yearly
Festival Bonus: 2","Published On
26 Jan 2023
Company Information
Lazz Pharma Ltd.( Darus Salam Branch )
Address : 17, Darussalam Road, Mirpur-1, Dhaka-1216
Business : Medicine & Departmental Store.",https://jobs.bdjobs.com/jobdetails.asp?id=1119390&fcatId=8&ln=1
9,Executive/ Sr. Executive - ERP,Executive/ Sr. Executive - ERP,n/a,n/a,"Job Context
We are looking for some CSE personnel for a reputed import oriented furniture manufacturing company.","Job Responsibilities
Analyze business/technical requirements and objectives, perform fit/gap analysis, and provide recommendations to the Project Team.
Design, implement and improve business processes in an ERP application environment (including Finance, Job Costing, Inventory Control, Supply Chain, Marketing, Commercial etc.)
Understanding the company's business processes, customizing ERP from Vendor and Implementation between management and end users.
Create various kinds of store procedure, functions, views and advance query in SQL server for complex reporting.
ERP implementation management, monitoring and user access control.
Prepare functional and system required documentation.
Maintenance ERP integration with other third-party software.
Provide support to ERP related issues and ensure that all tickets are properly triaged, documented, and prioritized in ticketing system (Jira).
Manage, track, and provide solutions to reported issues.
Provide on-going training to both internal and external users.
Execute testing of software updates/patches.
Assist in analysis of existing business practices and mapping those practices and procedures to the existing functionality within the ERP.
Assists in the ERP system upgrades.
Provide references for users by writing and maintaining user documentation and providing technical system support.
Provide backup to ERP Product Owner.","Employment Status
Full-time","Educational Requirements
Minimum graduation in CSE","Experience Requirements
1 to 2 year(s)
Freshers are also encouraged to apply.","Additional Requirements
Age 23 to 35 years
Candidates who have work experience in ERP Implementation, ERP Systems will get higher preference","Job Location
Gazipur","Salary
Negotiable","Compensation & Other Benefits
As per company policy","Published On
26 Jan 2023
Company Information
Import oriented furniture manufacturing company",https://jobs.bdjobs.com/jobdetails.asp?id=1119374&fcatId=8&ln=1
