,Unnamed: 0,job_title,name_location,experience_level,job_description
0,0,"Specialist, AI Operation (22 Jan, 2023)","Robi Axiata Limited Dhaka, Dhaka, Bangladesh Hybrid",Full-time · Entry level,"Job Purpose: The position will do maintenance and operations of various AI model developed in-house or through partnership. The role will be responsible for adhering to AI Ops best practices, standards and guidelines.

Key Accountabilities

Deploy AI applications in production environment. Manage configuration and version history of AI applications.
Do regular monitoring and do maintenance of AI applications to ensure AI service quality.
Conduct security and legal compliance gap analysis to make AI applications secured and compliant
Troubleshoot issues with AI applications to keep it up and running round the clock.
Conduct acceptance testing of AI services.
De-commission AI services as per due process.

Educational Requirement: B.Sc. in Computer Science and Engineering is a must.

Experience Requirement: Preferably 1 years of working experience in the area of BI/AI-ML/Data Warehouse.

Skills Requirement

Hands on experience of using R/Python.
Working experience in Hadoop environment or cloud platform is a plus
Experience of working with Git, AI/ML frameworks and large Database
Basic understanding of AI & analytics
Basic understanding of business value chain."
1,1,Operations Intern (Night Shift),"Augmedix Dhaka, Dhaka, Bangladesh On-site",Internship · Internship,"About Augmedix

Augmedix (Nasdaq: AUGX) delivers industry-leading, ambient medical documentation and data solutions to healthcare systems, physician practices, hospitals, and telemedicine practitioners.

Augmedix is on a mission to help clinicians and patients form a human connection at the point of care without the intrusion of technology. Augmedix’s solutions extract data from natural physician-patient conversations and convert it to medical notes in real time, which are seamlessly transferred to the EHR. To achieve this, the company’s Ambient Automation Platform uses Automated Speech Recognition and Natural Language Processing, supported by medical documentation specialists.

Leveraging this platform, Augmedix’s solutions relieve clinicians of administrative burden, in turn, reducing burnout and increasing both clinician and patient satisfaction. Augmedix is also leading the revolution in leveraging point-of-care data by making connections between millions of physician-patient interactions and analyzing them to deliver actionable insights that elevate patient care.

Job Overview

The operations intern is responsible to help out the operational team in the day-to-day Operational activities.

Internship Duration: 3 months

Duties And Responsibilities

Bulk data entry
Uploading and editing scheduling data
Scheduling important meetings
Assisting in day-to-day operational activities

Requirements

Bachelor's in Business Administration, Computer Science, Engineering
Strong written and verbal communication skills in English

Tech Skills

Required-Moderately expert in Microsoft Office (Word, Excel, Powerpoint) and G Suite (Docs, Sheets, Forms)
Optional-Good knowledge of systems, applications
Eager to learn how to familiarize yourself with different interfaces

Soft Skills

Good typing skills
Candidate needs to be quick and eager to learn
Capability to think critically and analytically
Collaborative with a Team Player mind-set

Benefits

Daily snacks and Dinner will be provided by the office
Transport Facility: Pick-up (if applicable) and Drop-off are available
Open and dynamic work environment
Opportunity for growth and development within Augmedix
Working in one of the fastest-growing startups based in the US with a global presence

Timing

Night Shift

Augmedix is an equal opportunity employer. We are committed to providing equal employment opportunities regardless of sex, gender identity, race, religious creed, color, ancestry, age, disability, marital status, sexual orientation including being transgender and/or any other protected bases."
2,2,Scribe (Night Shift),"Augmedix Dhaka, Dhaka, Bangladesh On-site",Full-time · Entry level,"About Augmedix

Augmedix (Nasdaq: AUGX) delivers industry-leading, ambient medical documentation and data solutions to healthcare systems, physician practices, hospitals, and telemedicine practitioners.

Augmedix is on a mission to help clinicians and patients form a human connection at the point of care without the intrusion of technology. Augmedix’s solutions extract data from natural physician-patient conversations and convert it to medical notes in real time, which are seamlessly transferred to the EHR. To achieve this, the company’s Ambient Automation Platform uses Automated Speech Recognition and Natural Language Processing, supported by medical documentation specialists.

Leveraging this platform, Augmedix’s solutions relieve clinicians of administrative burden, in turn, reducing burnout and increasing both clinician and patient satisfaction. Augmedix is also leading the revolution in leveraging point-of-care data by making connections between millions of physician-patient interactions and analyzing them to deliver actionable insights that elevate patient care.

About The Role

At Augmedix, we are striving to rehumanize healthcare by enabling doctors to deliver the most optimal care for patients. And the main driving force of our whole operation is the scribes. Scribes act as professional assistants to doctors and help them to deliver high quality patient care. Augmedix backed by cutting edge technology enables the process of scribing to take place anywhere at anytime all over the world. This industry has grown rapidly over the past few years and is projected to continue to do so moving forward. We are on track to hire and develop thousands of scribes globally and you have an opportunity to join us and grow with us.

We are looking for dynamic, tech savvy and English fluent people who are passionate about helping others, to make our mission a success. If you want to be the part of this new era of healthcare, join us. The future of healthcare is driven by people -- and it starts with you!

Responsibilities

Scribes will be at the forefront of a new healthcare revolution which will contribute massively to the Bangladesh BPO industry and help grow the industry rapidly by working with unique skillset and cutting edge technologies. Here are the key job responsibilities of a scribe as follows:
Assist doctors in documenting the patient's electronic health record (EHR).
Navigate the EHR during assistance of patient care.
Assist doctors in a variety of specialties including primary care, orthopedics, rheumatology, etc.
All of our scribes go through a specially designed training program, which enables them to work efficiently and effectively with US doctors.

Requirements

Graduates from any discipline.
Fluency in English along with good writing skills.
Excellent computer skills with good typing speed, quick to pick up new technology and new skills.
Attention to detail and focus on excellence in execution.
Passion about healthcare and helping people.

What We Offer

Competitive Pay.
Health insurance.
Festival bonus.
Daily food.
Transportation service (drop off).
Open and dynamic work environment.
Opportunity for growth and development within Augmedix.
Multitude of events, social and networking opportunities.
Opportunity to work with some of the best and brightest minds in the healthcare industry of US.
Working in one of the fastest growing startups based in US with a global presence.

Benefits

Opportunity to grow with Augmedix
Life Insurance
Health Insurance
Daily Meals
Gym Facility
Transportation Facility

Augmedix is an equal opportunity employer. We are committed to providing equal employment opportunities regardless of sex, gender identity, race, religious creed, color, ancestry, age, disability, marital status, sexual orientation including being transgender and/or any other protected bases."
3,3,Data Analysis Intern (Remote Internship - Analyst),"Brainnest Dhaka, Dhaka, Bangladesh Remote",Internship,"POSITION: Data Analyst Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest:

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to the business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment, leveraging our deep industry experience and applying analytical rigor to deliver exceptional results for companies. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Data Analysis Intern to join them in the upcoming weeks. This position is great for an aspiring data analysis professional looking to work on business-critical projects and gain relevant work experience.

Your profile:

Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Familiarity with Microsoft applications and Zoom
Willingness to learn and develop data analysis skills
Competitive and proactive attitude
Fluency in English

You will learn how to:

Get started with business analytics, including accessing and integrating the right data and constructing a data map
Prepare data, explore it visually, and describe it using statistical methods
Think and talk like an analyst
How to collaborate with others in different roles to get the data you need
Turn information into a work of art and intrigue your audience
Use a powerful set of business analytics tools to create and share visualizations with others in the organization
Make smarter, data-driven decisions
Interpret the data you see, find the data you need, and clean the data to work effectively with the data
Work with data, including how to import data, work with flat files such as CSV, and create data sets for others
Use predictive tools in business analytics that can help companies make better decisions
Use business analytics tools and techniques to leverage sales data and help organizations get more leads, close more deals, and ultimately increase the number of customers

At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace."
4,4,Filling Assistant,"UNHCR, the UN Refugee Agency Cox’s Bazar, Chattogram, Bangladesh",Full-time · Entry level,"Hardship Level (not applicable for home-based)

D

Family Type (not applicable for home-based)

Family

Staff Member / Affiliate Type

UNOPS IICA4

Target Start Date

2023-01-02-08:00

Job Posting End Date

February 4, 2023

Terms of Reference

To support the Protection mandate of UNHCR, the Office keeps physical files containing data, documents, correspondences, and records of case management activities of its persons of concern, which supplements the electronic data recorded in the proGres database. For the UNHCR Sub-Office of Cox’s Bazar, the Registration and Identity Management Unit manages the physical filing system and is responsible for creating files, updating them with new records, and maintaining a physical filing registry. The Unit also manages requests for physical files from users, retrieve them from the registry, ensure that users return them within the duration allocated, keep a record of the location and possession of all files and archive closed files.

The incumbent, under the direction of the Registration and Identity Management Officer, and overall supervision of the Senior Registration and Identity Management Officer will be responsible for compiling, arranging, and systematically filing the physical files created from records, documents, correspondences, interviews notes, decisions of officers among others created during registration, resettlement and other protection case management processes; according to UNHCR standards ensuring privacy, confidentiality, and ease of retrieval.

Subject to the nature of the task/assignment, s/he will work independently on routine tasks and will request and follow the instructions of the supervisor for more complex issues. Contacts are mainly with colleagues in the Cox’s Bazar Sub-Office and Bhasan Char. External contacts are limited to answering queries from other UNHCR offices and seeking information on the individual case from other UNHCR offices under the direction of the Registration and Identity Management Officer. The incumbent will be based in Cox’s Bazar office and may take field missions in the camps in Cox’s Bazar and Bhasan Char when required.
Purpose and Scope of Assignment

(Concise and detailed description of activities, tasks, and responsibilities to be undertaken, including expected travel, if applicable)
Systematic filing of all physical records generated during registration and protection processes arranging them in the physical filing registry by maintaining a labeling and arrangement system that ensures easy retrieval,
Preparing barcode chips for all users and implementing a system for requesting and retrieving files,
Maintain access permissions to the physical files, the registry, and electronic filing systems,
Support and train users,
Monitor compliance with file usage procedures and take necessary actions to correct errors,
Produce accurate inventories of physical records transferred to archives or to users,
Maintain electronic and physical repositories in good order and use the space efficiently,
Take the necessary actions to ensure the integrity and security of files in the repositories,
Digitize records and archives for preservation and dissemination when required,
Ensure that the File tracking system is properly used by all staff in the office and that file movement within the office and between users is properly recorded in the system,

b. Work Experience

(List the number of years and area of required work experience. Clearly distinguish between required experience and experience which could be an asset.)
Minimum 4 years of previous job experience relevant to the function,
Experience working with UNHCR in Cox’s Bazar in filing, registration or protection, or related functions will be highly considered.

Essential
Excellent computer skills and knowledge, particularly in using data management applications such as MS Excel.
Fluency in English,

Standard Job Description

Filing Assistant Organizational Setting and Work Relationships The Filing Assistant is normally supervised by a more senior staff within the same Unit or in Protection or Operations Data Management Sections. Subject to the nature of the task/assignment, he/she will work independently on routine tasks, and will request and follow instructions of the supervisor for more complex issues. Contacts are mainly with the colleagues in the same duty station. External contacts are limited to answering queries from other UNHCR offices and seeking information on individual case from other UNHCR offices. All UNHCR staff members are accountable to perform their duties as reflected in their job description. They do so within their delegated authorities, in line with the regulatory framework of UNHCR which includes the UN Charter, UN Staff Regulations and Rules, UNHCR Policies and Administrative Instructions as well as relevant accountability frameworks. In addition, staff members are required to discharge their responsibilities in a manner consistent with the core, functional, cross-functional and managerial competencies and UNHCR¿s core values of professionalism, integrity and respect for diversity. Duties - Track incoming/outgoing files in the system and keep in the filing room when not in use by staff, in line with SOPs. - File correspondence/documents in the physical file and enter data in the database. - Ensure that an orderly and systematic filing system is maintained in the filing room (active and closed) for efficient and timely retrieval of files. - Ensure that the File tracking system is properly used by all staff in the office and that file movement within the office and between users is properly recorded in the system. - Ensure that the data which are mainly related to asylum seekers, refugees and persons of concern to UNHCR are correctly entered into the computer database and filed in the physical individual file. - Receive, record and forward incoming correspondence and manage its proper distribution to the responsible officers. - Draft routine correspondence and respond to queries relating to area of responsibility. - May be required to assist the protection and refugee status determination unit with maintaining and updating the interview schedule as well as communicating with applicant regarding their scheduled appointment. - Ensure the general maintenance and smooth running of the filing room, i.e. physical arrangement, cleanliness and security. - May be required to provide clerical and administrative support by stocking and supplying stationery, receive and dispatch of external and internal office pouches and handle all official documentation. - Make recommendations relating to the organization of the filing system. - Perform other related duties as required. Minimum Qualifications Years of Experience / Degree Level For G4 - 1 year relevant experience with High School Diploma; or Bachelor or equivalent or higher Field(s) of Education Not applicable. (Field(s) of Education marked with an asterisk* are essential) Certificates and/or Licenses Not specified. (Certificates and Licenses marked with an asterisk* are essential) Relevant Job Experience Essential Not specified. Desirable Completion of UNHCR learning programmes or specific training relevant to functions of the position would be an asset. Functional Skills *IT-Computer Literacy (Functional Skills marked with an asterisk* are essential) Language Requirements For International Professional and Field Service jobs: Knowledge of English and UN working language of the duty station if not English. For National Professional jobs: Knowledge of English and UN working language of the duty station if not English and local language. For General Service jobs: Knowledge of English and/or UN working language of the duty station if not English. All UNHCR workforce members must individually and collectively, contribute towards a working environment where each person feels safe, and empowered to perform their duties. This includes by demonstrating no tolerance for sexual exploitation and abuse, harassment including sexual harassment, sexism, gender inequality, discrimination and abuse of power. As individuals and as managers, all must be proactive in preventing and responding to inappropriate conduct, support ongoing dialogue on these matters and speaking up and seeking guidance and support from relevant UNHCR resources when these issues arise. This is a Standard Job Description for all UNHCR jobs with this job title and grade level. The Operational Context may contain additional essential and/or desirable qualifications relating to the specific operation and/or position. Any such requirements are incorporated by reference in this Job Description and will be considered for the screening, shortlisting and selection of candidates.

Required Languages

,

Desired Languages

,

Skills

Additional Qualifications

Education

Certifications

HCR Learning Program - UNHCR

Work Experience

Other Information

This position doesn't require a functional clearance"
5,5,HR Intern,"Augmedix Dhaka, Dhaka, Bangladesh On-site",Internship · Internship,"About Augmedix

Augmedix (Nasdaq: AUGX) delivers industry-leading, ambient medical documentation and data solutions to healthcare systems, physician practices, hospitals, and telemedicine practitioners.

Augmedix is on a mission to help clinicians and patients form a human connection at the point of care without the intrusion of technology. Augmedix’s solutions extract data from natural physician-patient conversations and convert it to medical notes in real time, which are seamlessly transferred to the EHR. To achieve this, the company’s Ambient Automation Platform uses Automated Speech Recognition and Natural Language Processing, supported by medical documentation specialists.

Leveraging this platform, Augmedix’s solutions relieve clinicians of administrative burden, in turn, reducing burnout and increasing both clinician and patient satisfaction. Augmedix is also leading the revolution in leveraging point-of-care data by making connections between millions of physician-patient interactions and analyzing them to deliver actionable insights that elevate patient care.

About The Role

Are you passionate about finding the best talent? Do you enjoy working in a team towards challenging goals in a very rewarding industry? This role may be a perfect role for you! Here’s your chance to think beyond the ordinary!

We are searching for an Intern to join our Human Resources Department who will closely work with in our recruitment team to create a candidate pool through employer branding, campus activation, networking etc. various challenging tasks. We are so excited to bring in an intern that wants to build out a fast paced, high growth team. If you are a career coach, talent matchmaker and love hustle of a start-up, we want to hear from you!

Duration: 3 Months

Time: 3:00 PM to 11:00 PM (Monday to Friday)

Transportation: Drop Off (if applicable)

Responsibilities

Assisting in day to day recruitment activities.
Updating and maintaining applicant database.
Communicating with candidates and scheduling interviews.
Conducting initial applicant screenings.
Liaise with universities to create a network for campus recruitment.
Organize and run job fairs and career events.
Assist in design and implementation of the overall activation strategy to do campus driving through sourcing and attracting candidates by using databases, social media etc.
Process documentation and prepare reports relating to our campus activities.

Requirements

Bachelors in Business Administration with concentration in HR or Marketing
Expert in Gsuite (Google Sheets, Google Docs, Gmail Calendar Management)
Excellent communication and people skills.
Familiarity with social media (e.g. LinkedIn, Facebook and Twitter)
Strong verbal and written communication skills.
A willingness to travel to different universities and organizations.
Understanding of Confidentiality.

Augmedix is an equal opportunity employer. We are committed to providing equal employment opportunities regardless of sex, gender identity, race, religious creed, color, ancestry, age, disability, marital status, sexual orientation including being transgender and/or any other protected bases."
6,6,Data Collectors in Thailand,Appen APAC Remote,Contract · Entry level,"Join Appen today and be part of this awesome project!

About the Role:
Data Collector contributes the entering information into a database and ensures that your data collection sources are accurate. Data collection is the process of gathering and measuring information on variables of interest, in an established systematic fashion that enables one to answer stated research questions and evaluate outcomes.

Project Overview:
This project aims to improve the efficiency and accuracy of speech recognition technology in your native language.
Short-term earning potential
Read and record short commands in your native language

Project Requirements:
Android or iOS smartphone
Recording will be done inside a quiet vehicle (engine must be switched OFF)
Thai Speakers
Must be currently residing in Thailand


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."""
7,7,Social Media Manager,iPhone Photography School South Asia Remote,Full-time · Associate,"What’s iPhone Photography School all about?

We make online courses that help people take stunning photos with the iPhone.

With our 9-year track record, we’re the world’s leader in mobile photography education.

And while we’re proud of everything we’ve accomplished so far, we’re just getting started.

And this is why we are looking for an experienced Social Media Manager to join our team.


What will you be doing as our social media manager?

Managing and growing multiple large social media profiles, whilst maintaining a consistent high-quality brand image with every post
Engaging with our customer community on our social platforms
Creating unique posts that meet specific objectives (engagement, clicks, etc.)
Curating images, text, and videos to provide value to our followers
Making data-driven decisions to improve engagement and post quality
Collaborating with the rest of the team on the creative aspects of the social ads
Staying current with the latest social media updates and trends
Establishing relationships with top Instagram photographers


What’s in it for me?

Of course this can’t all be one-sided, and we believe that we provide one of the best remote working environments in the world.

State of the art software to stay connected and organized? We’ve got that.

Investing both time and money in your learning to ensure that you continually grow? We do that.

Flexible working schedule to ensure that you maintain a healthy work-life balance? Well that’s a no-brainer.


But should you apply?

This is not a decision we can make for you, but what we can do is lay out our Purpose, Values and Mission to help you decide for yourself.

As a company we believe in honesty and transparency, and once you click the apply button you will have the chance to learn all about us before you decide on whether to submit your application.

Hiring the best candidate is very important to us, but equally important is hiring the right candidate. Only apply if you really identify with what you read on the next page.


Note: This is a 100% remote full-time position. Due to time zone differences, we won’t be able to hire applicants residing in Australia or the eastern parts of Asia."
8,8,"Manager, Digital Products Development (18 January 2023)","Robi Axiata Limited Dhaka, Dhaka, Bangladesh On-site",Full-time · Entry level,"Job Purpose

Planning, developing & scaling up technology-based business models in Telco Eco-system in Bangladesh.
Digital solution planning & ensure implementation governance to ensure faster digital adaptation of other sales & distribution processes.
Collaboration with other key stakeholders to ensure best development practices are getting followed.

Key Accountabilities

Plan & lead the development of different digital products & Platforms
Collaboration with various stakeholders (IT, NCP, vendors, Finance, Regulatory, and others)
Solution design of different S&D platforms, UI UX planning
Capex budget management in collaboration with MSP, Finance BP, and other teams) 5. BRS documents, user story, and wireframe design for any new or existing solutions
Support in designing & developing different strategic digital initiatives under the S&D domain
Report generation, system-level complaint handling of other platforms
Understanding of retail environment & process automation planning & implementation

Educational Requirement: Business or IT graduate from a reputed national/foreign university

Experience Requirement: Minimum 4 years of experience working in a techno-commercial environment"
9,9,Data Collectors,Appen APAC Remote,Contract · Entry level,"Join Appen today and be part of this awesome project!

About the Role:
Data Collector contributes the entering information into a database and ensures that your data collection sources are accurate. Data collection is the process of gathering and measuring information on variables of interest, in an established systematic fashion that enables one to answer stated research questions and evaluate outcomes.

Project Overview:
This project aims to improve the efficiency and accuracy of speech recognition technology in your native language.
Short-term earning potential
Read and record short commands in your native language

Project Requirements:
Android or iOS smartphone
Recording will be done inside a quiet vehicle (engine must be switched OFF)
Vietnamese Speakers
Currently residing in Vietnam

What to expect when you register:
Create an Appen Account
Choose Vietnamese (Vietnam) as your primary language. Please make sure that your primary language is correct so this project will appear on your list of projects.
Complete your profile and project registration [5 min]
Study the provided guidelines [at your own pace]
Agree to confidentiality and ways of working rules
Pass the quiz



""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."""
